
af, am, ar, ar_AE, ar_DZ, ar_EG, az, bg, bn, bn_IN, ca, cs, da, de, de_AT, de_CH, el, en, en_AU, en_CA, en_GB, en_IN, es, es_AR, es_CO, es_MX, et, fa, fi, fr, fr_BE, fr_CA, fr_CH, gl, gu, ha, he, hi, hr, hu, id, it, ja, kk, ko, ku, ln, lt, lv, ml, mn, mr, ms, ms_SG, my, nb, ne, nl, nl_BE, nn, pl, ps, pt, pt_PT, ro, ru, ru_KZ, ru_UA, si, sk, sl, sn, sr, sv, sw, ta, te, th, tl, tr, uk, ur, ur_IN, uz, vi, zh, zh_CN, zh_HK, zh_MO, zh_SG

af  Afrikaans 南非、纳米比亚 17M
am  阿姆哈拉语 埃塞俄比亚 32M
ar  阿拉伯语  中东、北非 274M
ar_AE 阿拉伯语  阿联酋 9.9M
ar_DZ 阿拉伯语  阿尔及利亚 44M
ar_EG 阿拉伯语  埃及  100M
az  阿塞拜疆语 阿塞拜疆  10M
bg  保加利亚语 保加利亚  8M
bn  孟加拉语  孟加拉国  273M
bn_IN 孟加拉语  印度  97M
ca  加泰罗尼亚语  西班牙加泰罗尼亚地区  10M
cs  捷克语 捷克  10.7M
da  丹麦语 丹麦  5.5M
de  德语  德国、奥地利、瑞士 135M
de_AT 德语  奥地利 9M
de_CH 德语  瑞士  8.5M
el  希腊语 希腊、塞浦路斯 13.5M
en  英语  全球  1500M
en_AU 英语  澳大利亚  25M
en_CA 英语  加拿大 30M
en_GB 英语  英国  68M
en_IN 英语  印度  125M
es  西班牙语  西班牙、拉丁美洲  559M
es_AR 西班牙语  阿根廷 45M
es_CO 西班牙语  哥伦比亚  50M
es_MX 西班牙语  墨西哥 126M
et  爱沙尼亚语 爱沙尼亚  1.1M
fa  波斯语 伊朗、阿富汗  83M
fi  芬兰语 芬兰  5.4M
fr  法语  法国、非洲部分地区 310M
fr_BE 法语  比利时 4.5M
fr_CA 法语  加拿大魁北克省 7.2M
fr_CH 法语  瑞士  2M
gl  加利西亚语 西班牙加利西亚地区 2.4M
gu  古吉拉特语 印度古吉拉特邦 62M
ha  豪萨语 尼日利亚、尼日尔  63M
he  希伯来语  以色列 9M
hi  印地语 印度  609M
hr  克罗地亚语 克罗地亚  5.6M
hu  匈牙利语  匈牙利 13M
id  印度尼西亚语  印度尼西亚 199M
it  意大利语  意大利、瑞士  67M
ja  日语  日本  126M
kk  哈萨克语  哈萨克斯坦 13M
ko  韩语  韩国、朝鲜 82M
ku  库尔德语  伊拉克、土耳其、伊朗、叙利亚  30M
ln  林加拉语  刚果（金）、刚果（布） 45M
lt  立陶宛语  立陶宛 3M
lv  拉脱维亚语 拉脱维亚  1.75M
ml  马拉雅拉姆语  印度喀拉拉邦  38M
mn  蒙古语 蒙古  5.2M
mr  马拉地语  印度马哈拉施特拉邦 99M
ms  马来语 马来西亚、文莱 18M
ms_SG 马来语 新加坡 0.85M
my  缅甸语 缅甸  33M
nb  挪威博克马尔语 挪威  5.3M
ne  尼泊尔语  尼泊尔 16M
nl  荷兰语 荷兰、比利时  24M
nl_BE 荷兰语 比利时 6.5M
nn  挪威尼诺斯克语 挪威  0.7M
pl  波兰语 波兰  45M
ps  普什图语  阿富汗、巴基斯坦  50M
pt  葡萄牙语  葡萄牙、巴西、非洲部分地区 267M
pt_PT 葡萄牙语  葡萄牙 10M
ro  Romanian  罗马尼亚、摩尔多瓦 24M
ru  Russian 俄罗斯、东欧部分地区  258M
ru_KZ Russian 哈萨克斯坦 16M
ru_UA Russian 乌克兰 14M
si  Sinhala 斯里兰卡  17M
sk  Slovak  斯洛伐克  5.5M
sl  Slovenian 斯洛文尼亚 2.5M
sn  Shona 津巴布韦  11M
sr  Serbian 塞尔维亚、波斯尼亚 12M
sv  Swedish 瑞典、芬兰部分地区 11M
sw  Swahili 东非地区（坦桑尼亚、肯尼亚等） 200M
ta  Tamil 印度、斯里兰卡、新加坡、马来西亚  81M
te  Telugu  印度  96M
th  Thai  泰国  70M
tl  Tagalog 菲律宾 28M
tr  Turkish 土耳其、塞浦路斯  88M
uk  Ukrainian 乌克兰 37M
ur  Urdu  巴基斯坦、印度 230M
ur_IN Urdu  印度  50M
uz  Uzbek 乌兹别克斯坦  32M
vi  Vietnamese  越南  86M
zh  Chinese 全球华人  1300M
zh_CN Chinese 中国大陆  1100M
zh_HK Chinese 香港  7.5M
zh_MO Chinese 澳门  0.7M
zh_SG Chinese 新加坡 3M
